"subject","trial","condition","sp","value","stim","acc","value_prioritem1","value_prioritem","exp"
"529.1",26,"distracted - familiar",5,8,"alley",1,"2",2,1
"529.1",26,"distracted - familiar",6,4,"shop",0,"8",8,1
"529.1",26,"distracted - familiar",7,9,"oven",0,"4",4,1
"529.1",26,"distracted - familiar",8,6,"sock",1,"9",9,1
"529.1",26,"distracted - familiar",9,5,"pepper",0,"6",6,1
"529.1",26,"distracted - familiar",10,8,"foot",0,"5",5,1
"529.1",26,"distracted - familiar",11,1,"mail",1,"8",8,1
"529.1",26,"distracted - familiar",12,9,"state",0,"1",1,1
"529.1",26,"distracted - familiar",13,4,"dresser",0,"9",9,1
"529.1",26,"distracted - familiar",14,6,"platter",0,"4",4,1
"529.1",26,"distracted - familiar",15,2,"note",1,"6",6,1
"529.1",26,"distracted - familiar",16,3,"lint",1,"2",2,1
"529.1",26,"distracted - familiar",17,7,"case",1,"3",3,1
"529.1",26,"distracted - familiar",18,7,"flare",1,"7",7,1
"529.1",26,"distracted - familiar",19,1,"skillet",1,"7",7,1
"529.1",26,"distracted - familiar",20,5,"cork",0,"1",1,1
"530",4,"full attention",1,6,"steam",0,NA,NA,1
"530",4,"full attention",2,10,"pork",1,"6",6,1
"530",4,"full attention",3,5,"straw",0,"10",10,1
"530",4,"full attention",4,4,"pocket",0,"5",5,1
"530",4,"full attention",5,4,"news",0,"4",4,1
"530",4,"full attention",6,8,"shovel",0,"4",4,1
"530",4,"full attention",7,7,"scale",0,"8",8,1
"530",4,"full attention",8,2,"heel",0,"7",7,1
"530",4,"full attention",9,1,"hammer",0,"2",2,1
"530",4,"full attention",10,3,"scent",0,"1",1,1
"530",4,"full attention",11,9,"state",1,"3",3,1
"530",4,"full attention",12,7,"horn",1,"9",9,1
"530",4,"full attention",13,10,"storm",1,"7",7,1
"530",4,"full attention",14,8,"nation",1,"10",10,1
"530",4,"full attention",15,3,"card",0,"8",8,1
"530",4,"full attention",16,9,"magnet",0,"3",3,1
"530",4,"full attention",17,2,"dust",0,"9",9,1
"530",4,"full attention",18,5,"wave",0,"2",2,1
"530",4,"full attention",19,6,"hook",0,"5",5,1
"530",4,"full attention",20,1,"garment",0,"6",6,1
"530",8,"full attention",1,1,"tunnel",1,NA,NA,1
"530",8,"full attention",2,6,"note",1,"1",1,1
"530",8,"full attention",3,7,"guest",1,"6",6,1
"530",8,"full attention",4,4,"jelly",1,"7",7,1
"530",8,"full attention",5,10,"cave",0,"4",4,1
"530",8,"full attention",6,9,"garlic",0,"10",10,1
"530",8,"full attention",7,1,"corner",0,"9",9,1
"530",8,"full attention",8,3,"wink",0,"1",1,1
"530",8,"full attention",9,7,"deck",0,"3",3,1
"530",8,"full attention",10,4,"lotion",1,"7",7,1
"530",8,"full attention",11,8,"device",0,"4",4,1
"530",8,"full attention",12,6,"bean",0,"8",8,1
"530",8,"full attention",13,9,"spark",0,"6",6,1
"530",8,"full attention",14,3,"slide",1,"9",9,1
"530",8,"full attention",15,5,"guide",1,"3",3,1
"530",8,"full attention",16,5,"parcel",0,"5",5,1
"530",8,"full attention",17,2,"spot",0,"5",5,1
"530",8,"full attention",18,10,"guard",1,"2",2,1
"530",8,"full attention",19,8,"tire",0,"10",10,1
"530",8,"full attention",20,2,"flare",0,"8",8,1
"530",12,"full attention",1,8,"chuckle",1,NA,NA,1
"530",12,"full attention",2,9,"seam",1,"8",8,1
"530",12,"full attention",3,10,"ramp",1,"9",9,1
"530",12,"full attention",4,4,"labor",0,"10",10,1
"530",12,"full attention",5,6,"collar",0,"4",4,1
"530",12,"full attention",6,7,"wall",1,"6",6,1
"530",12,"full attention",7,3,"file",0,"7",7,1
"530",12,"full attention",8,1,"ground",0,"3",3,1
"530",12,"full attention",9,5,"battle",0,"1",1,1
"530",12,"full attention",10,7,"dresser",1,"5",5,1
"530",12,"full attention",11,8,"button",1,"7",7,1
"530",12,"full attention",12,2,"pump",0,"8",8,1
"530",12,"full attention",13,5,"flannel",0,"2",2,1
"530",12,"full attention",14,6,"spoon",0,"5",5,1
"530",12,"full attention",15,2,"booth",0,"6",6,1
"530",12,"full attention",16,3,"store",0,"2",2,1
"530",12,"full attention",17,9,"nerve",1,"3",3,1
"530",12,"full attention",18,1,"shell",0,"9",9,1
"530",12,"full attention",19,4,"cork",0,"1",1,1
"530",12,"full attention",20,10,"brake",0,"4",4,1
"530",16,"full attention",1,9,"zipper",1,NA,NA,1
"530",16,"full attention",2,2,"match",0,"9",9,1
"530",16,"full attention",3,1,"sock",0,"2",2,1
"530",16,"full attention",4,6,"crow",0,"1",1,1
"530",16,"full attention",5,7,"curb",1,"6",6,1
"530",16,"full attention",6,8,"scar",1,"7",7,1
"530",16,"full attention",7,3,"beggar",0,"8",8,1
"530",16,"full attention",8,3,"gravel",0,"3",3,1
"530",16,"full attention",9,5,"lane",0,"3",3,1
"530",16,"full attention",10,2,"flag",0,"5",5,1
"530",16,"full attention",11,5,"coil",0,"2",2,1
"530",16,"full attention",12,4,"chalk",0,"5",5,1
"530",16,"full attention",13,6,"bowl",0,"4",4,1
"530",16,"full attention",14,7,"pound",1,"6",6,1
"530",16,"full attention",15,10,"ghost",1,"7",7,1
